seed,split,fold,n_train,n_valid,n_test,test_pos_rate,acc,auroc,aupr,f1,val_acc,val_auroc,val_aupr,val_f1,test_categories
42,disease_area,0,7405,636,1448,0.48480662983425415,0.6125690607734806,0.662996570503273,0.6638306550861313,0.46109510086455335,0.5943396226415094,0.6836353206472287,0.6890908318190543,0.45798319327731085,C12|C23
42,disease_area,1,7027,1288,1174,0.43185689948892675,0.6712095400340715,0.7444384316717381,0.7007846419653199,0.49739583333333337,0.6428571428571429,0.7417317228850592,0.8009677337671082,0.6027633851468048,C01|C11|C15
42,disease_area,2,7185,1262,1042,0.6007677543186181,0.519193857965451,0.6270774453182599,0.7113251477628081,0.4414715719063545,0.5190174326465927,0.6269593613933236,0.7179935368171346,0.3787103377686796,C14
42,disease_area,3,7132,1352,1005,0.573134328358209,0.554228855721393,0.6822552447552448,0.7273147233108184,0.4778554778554779,0.5687869822485208,0.5942378238296605,0.6056384945694981,0.3920750782064651,C01|C05|C26|F03
42,disease_area,4,7464,1034,991,0.5257315842583249,0.5428859737638748,0.6023032629558541,0.6277401133647447,0.3367496339677892,0.6363636363636364,0.7650374856378706,0.8164774496484227,0.5965665236051502,C18|F03
42,disease_area,5,7354,1042,1093,0.484903934126258,0.6294602012808783,0.6613492409263044,0.6875045598458052,0.49689440993788814,0.5441458733205374,0.6579319243057262,0.7397438390777151,0.4704570791527314,C06|C07|C11
42,disease_area,6,7011,1042,1436,0.46866295264623953,0.6267409470752089,0.6713119207632342,0.6690613758967772,0.4693069306930693,0.5374280230326296,0.6729118026542148,0.732411151111915,0.4632516703786192,C01|C06|C07|C09|C11|C25|F01
42,disease_area,7,7023,1387,1079,0.531047265987025,0.6126042632066728,0.6810111127206506,0.7320171316274569,0.5228310502283106,0.6517664023071377,0.7210450301963282,0.7484644973203972,0.5825410544511668,C07|C08|C11|C25
42,disease_area,8,7437,588,1464,0.4931693989071038,0.619535519125683,0.69277463768657,0.6939209523113685,0.5194132873166524,0.6122448979591837,0.7203181928588778,0.8045416147167186,0.597173144876325,C04|C06|F01
42,disease_area,9,7551,930,1008,0.5744047619047619,0.628968253968254,0.7377642507176185,0.8011498742028559,0.5807174887892377,0.5494623655913978,0.65796904315197,0.6988351611069852,0.4522875816993464,C11|C17
